language,structure,dataset,n,repeat,insert_ns,search_ns,delete_ns,traverse_ns,hits,checksum
python,array,dataset_1000.txt,1000,7,667,28292,37250,4875,5,494272
python,array,dataset_1000.txt,1000,8,667,28500,37083,4916,5,494272
python,array,dataset_1000.txt,1000,9,666,28250,37166,4875,5,494272
python,hash,dataset_10000.txt,10000,0,219709,4125,3708,43791,50,49509981
python,hash,dataset_10000.txt,10000,1,210000,3875,3458,43750,50,49509981
python,hash,dataset_10000.txt,10000,2,205250,3834,3500,43375,50,49509981
python,hash,dataset_10000.txt,10000,3,203875,3792,3417,43709,50,49509981
python,hash,dataset_10000.txt,10000,4,201166,3709,3500,43750,50,49509981
python,hash,dataset_10000.txt,10000,5,200750,3834,3417,43750,50,49509981
python,hash,dataset_10000.txt,10000,6,203583,3875,3417,43500,50,49509981
python,hash,dataset_10000.txt,10000,7,212750,3916,3458,43625,50,49509981
python,hash,dataset_10000.txt,10000,8,200958,3791,3500,43833,50,49509981
python,hash,dataset_10000.txt,10000,9,208583,3667,5208,44667,50,49509981
python,linked,dataset_10000.txt,10000,0,1525791,22509250,13016083,304417,50,49509981
python,linked,dataset_10000.txt,10000,1,1364625,21065375,12962500,309250,50,49509981
python,linked,dataset_10000.txt,10000,2,1408875,20930708,13006375,327625,50,49509981
python,linked,dataset_10000.txt,10000,3,1289250,20906625,12976583,304667,50,49509981
python,linked,dataset_10000.txt,10000,4,1531208,21602292,13103792,311875,50,49509981
python,linked,dataset_10000.txt,10000,5,1293417,20860584,12871125,287958,50,49509981
python,linked,dataset_10000.txt,10000,6,1288584,20889209,12848542,302208,50,49509981
python,linked,dataset_10000.txt,10000,7,1365166,20937125,12919042,290583,50,49509981
python,linked,dataset_10000.txt,10000,8,1293292,20793791,12891375,296292,50,49509981
python,linked,dataset_10000.txt,10000,9,1495709,20879625,12999667,295417,50,49509981
python,array,dataset_10000.txt,10000,0,12584,2747750,2704417,34791,50,49509981
python,array,dataset_10000.txt,10000,1,10708,2755000,2717083,34084,50,49509981
python,array,dataset_10000.txt,10000,2,11541,2788334,2695709,36333,50,49509981
python,array,dataset_10000.txt,10000,3,13791,2750500,2684708,36208,50,49509981
python,array,dataset_10000.txt,10000,4,10500,2766417,2698958,35417,50,49509981
python,array,dataset_10000.txt,10000,5,11625,2809333,2692583,36583,50,49509981
python,array,dataset_10000.txt,10000,6,11333,2752167,2687583,34833,50,49509981
python,array,dataset_10000.txt,10000,7,10541,2756500,2804666,36917,50,49509981
python,array,dataset_10000.txt,10000,8,11750,2769458,2696833,33625,50,49509981
python,array,dataset_10000.txt,10000,9,11208,2761000,2698000,34500,50,49509981
cpp,linked,dataset_10000.txt,10000,0,82750,921375,621333,11583,50,49509981
cpp,linked,dataset_10000.txt,10000,1,93416,1173125,838584,13000,50,49509981
cpp,linked,dataset_10000.txt,10000,2,83084,960291,682959,11875,50,49509981
cpp,linked,dataset_10000.txt,10000,3,80541,952542,689292,14833,50,49509981
cpp,linked,dataset_10000.txt,10000,4,86166,1105084,655375,11916,50,49509981
cpp,linked,dataset_10000.txt,10000,5,83125,932875,643250,11958,50,49509981
cpp,linked,dataset_10000.txt,10000,6,82750,1052917,735083,14167,50,49509981
cpp,linked,dataset_10000.txt,10000,7,79916,938667,758416,14500,50,49509981
cpp,linked,dataset_10000.txt,10000,8,81958,1038875,702292,14583,50,49509981
cpp,linked,dataset_10000.txt,10000,9,82834,904917,652541,11708,50,49509981
python,hash,dataset_1000.txt,1000,0,26167,875,708,7292,5,494272
python,hash,dataset_1000.txt,1000,1,25917,667,458,7041,5,494272
python,hash,dataset_1000.txt,1000,2,24542,625,459,7125,5,494272
python,hash,dataset_1000.txt,1000,3,23750,584,458,6917,5,494272
python,hash,dataset_1000.txt,1000,4,24584,667,458,6584,5,494272
python,hash,dataset_1000.txt,1000,5,24334,583,542,6791,5,494272
python,hash,dataset_1000.txt,1000,6,23000,583,500,6667,5,494272
python,hash,dataset_1000.txt,1000,7,23708,583,583,6667,5,494272
python,hash,dataset_1000.txt,1000,8,23833,542,458,6708,5,494272
python,hash,dataset_1000.txt,1000,9,23125,541,458,6708,5,494272
cpp,linked,dataset_1000.txt,1000,0,12375,8958,6208,917,5,494272
cpp,linked,dataset_1000.txt,1000,1,12167,8958,5833,917,5,494272
cpp,linked,dataset_1000.txt,1000,2,12166,9084,6125,875,5,494272
cpp,linked,dataset_1000.txt,1000,3,12166,9583,6125,958,5,494272
cpp,linked,dataset_1000.txt,1000,4,12167,9708,5542,875,5,494272
cpp,linked,dataset_1000.txt,1000,5,12166,8500,6084,875,5,494272
cpp,linked,dataset_1000.txt,1000,6,12166,7459,5500,875,5,494272
cpp,linked,dataset_1000.txt,1000,7,12167,7333,5541,917,5,494272
cpp,linked,dataset_1000.txt,1000,8,12166,6834,6125,875,5,494272
cpp,linked,dataset_1000.txt,1000,9,12209,7416,6084,916,5,494272
cpp,hash,dataset_25000.txt,25000,0,283083,792,4959,30209,125,309399781
cpp,hash,dataset_25000.txt,25000,1,273208,708,4959,29625,125,309399781
cpp,hash,dataset_25000.txt,25000,2,273500,708,4959,29083,125,309399781
cpp,hash,dataset_25000.txt,25000,3,279959,708,4875,29666,125,309399781
cpp,hash,dataset_25000.txt,25000,4,274500,708,4917,28750,125,309399781
cpp,hash,dataset_25000.txt,25000,5,275916,709,4875,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,6,297084,708,4875,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,7,284291,709,4916,29500,125,309399781
cpp,hash,dataset_25000.txt,25000,8,275625,709,4875,29167,125,309399781
cpp,hash,dataset_25000.txt,25000,9,286000,708,4875,29333,125,309399781
python,array,dataset_5000.txt,5000,0,6500,660625,778708,18875,25,12368708
python,array,dataset_5000.txt,5000,1,6750,657125,781500,18500,25,12368708
python,array,dataset_5000.txt,5000,2,6000,656458,781792,18459,25,12368708
python,array,dataset_5000.txt,5000,3,5875,656500,788542,18208,25,12368708
python,array,dataset_5000.txt,5000,4,5958,658667,778250,18167,25,12368708
python,array,dataset_5000.txt,5000,5,5916,655333,782459,18417,25,12368708
python,array,dataset_5000.txt,5000,6,5875,654209,779458,18209,25,12368708
python,array,dataset_5000.txt,5000,7,6208,663041,780041,18375,25,12368708
python,array,dataset_5000.txt,5000,8,8042,711833,789167,18166,25,12368708
python,array,dataset_5000.txt,5000,9,6250,677542,794500,18334,25,12368708
python,hash,dataset_5000.txt,5000,0,114791,2416,1958,23791,25,12368708
python,hash,dataset_5000.txt,5000,1,101000,2125,1791,23542,25,12368708
python,hash,dataset_5000.txt,5000,2,103792,2000,1709,23792,25,12368708
python,hash,dataset_5000.txt,5000,3,99417,2000,1750,23792,25,12368708
python,hash,dataset_5000.txt,5000,4,99417,2000,1708,23625,25,12368708
python,hash,dataset_5000.txt,5000,5,102875,2042,1750,23792,25,12368708
python,hash,dataset_5000.txt,5000,6,109084,2041,1708,23875,25,12368708
python,hash,dataset_5000.txt,5000,7,99083,2000,1709,23333,25,12368708
python,hash,dataset_5000.txt,5000,8,100083,2041,1750,23791,25,12368708
python,hash,dataset_5000.txt,5000,9,106208,2000,1750,23958,25,12368708
python,linked,dataset_1000.txt,1000,0,107458,237000,174167,30500,5,494272
python,linked,dataset_1000.txt,1000,1,103792,237167,175375,30292,5,494272
python,linked,dataset_1000.txt,1000,2,103250,235583,173833,30834,5,494272
python,linked,dataset_1000.txt,1000,3,103250,237291,175959,30416,5,494272
python,linked,dataset_1000.txt,1000,4,103125,236958,173959,30083,5,494272
python,linked,dataset_1000.txt,1000,5,107208,234916,173791,29917,5,494272
python,linked,dataset_1000.txt,1000,6,103209,237625,173458,30875,5,494272
python,linked,dataset_1000.txt,1000,7,105208,240917,172042,30542,5,494272
python,linked,dataset_1000.txt,1000,8,107250,237459,173916,30000,5,494272
python,linked,dataset_1000.txt,1000,9,103625,235458,172709,31083,5,494272
cpp,array,dataset_25000.txt,25000,0,6834,1425416,1071542,958,125,309399781
cpp,array,dataset_25000.txt,25000,1,5959,1422083,1071667,916,125,309399781
cpp,array,dataset_25000.txt,25000,2,5917,1425125,1068500,958,125,309399781
cpp,array,dataset_25000.txt,25000,3,9208,1443333,1071584,958,125,309399781
cpp,array,dataset_25000.txt,25000,4,6291,1428500,1068583,959,125,309399781
cpp,array,dataset_25000.txt,25000,5,7584,1425041,1068500,917,125,309399781
cpp,array,dataset_25000.txt,25000,6,7625,1424333,1071667,958,125,309399781
cpp,array,dataset_25000.txt,25000,7,6083,1425083,1071875,916,125,309399781
cpp,array,dataset_25000.txt,25000,8,5958,1435958,1109417,958,125,309399781
cpp,array,dataset_25000.txt,25000,9,7625,1447083,1101375,958,125,309399781
cpp,hash,dataset_1000.txt,1000,0,15334,0,292,1000,5,494272
cpp,hash,dataset_1000.txt,1000,1,15125,42,208,917,5,494272
cpp,hash,dataset_1000.txt,1000,2,15083,0,208,917,5,494272
cpp,hash,dataset_1000.txt,1000,3,15125,0,167,958,5,494272
cpp,hash,dataset_1000.txt,1000,4,15125,41,167,958,5,494272
cpp,hash,dataset_1000.txt,1000,5,15708,42,167,959,5,494272
cpp,hash,dataset_1000.txt,1000,6,15291,0,208,959,5,494272
cpp,hash,dataset_1000.txt,1000,7,15167,0,250,959,5,494272
cpp,hash,dataset_1000.txt,1000,8,15417,0,208,958,5,494272
cpp,hash,dataset_1000.txt,1000,9,15125,42,208,959,5,494272
