language,structure,dataset,n,repeat,operation,time_ns,hits,checksum
cpp,array,dataset_1000.txt,1000,2,search,2792,5,494272
cpp,array,dataset_1000.txt,1000,2,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,2,traverse,42,5,494272
cpp,array,dataset_1000.txt,1000,3,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,3,search,2833,5,494272
cpp,array,dataset_1000.txt,1000,3,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,3,traverse,42,5,494272
cpp,array,dataset_1000.txt,1000,4,insert,42,5,494272
cpp,array,dataset_1000.txt,1000,4,search,2791,5,494272
cpp,array,dataset_1000.txt,1000,4,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,4,traverse,41,5,494272
cpp,array,dataset_1000.txt,1000,5,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,5,search,2792,5,494272
cpp,array,dataset_1000.txt,1000,5,delete,2375,5,494272
cpp,array,dataset_1000.txt,1000,5,traverse,42,5,494272
cpp,array,dataset_1000.txt,1000,6,insert,42,5,494272
cpp,array,dataset_1000.txt,1000,6,search,2791,5,494272
cpp,array,dataset_1000.txt,1000,6,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,6,traverse,83,5,494272
cpp,array,dataset_1000.txt,1000,7,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,7,search,2875,5,494272
cpp,array,dataset_1000.txt,1000,7,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,7,traverse,41,5,494272
cpp,array,dataset_1000.txt,1000,8,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,8,search,2792,5,494272
cpp,array,dataset_1000.txt,1000,8,delete,2375,5,494272
cpp,array,dataset_1000.txt,1000,8,traverse,42,5,494272
cpp,array,dataset_1000.txt,1000,9,insert,83,5,494272
cpp,array,dataset_1000.txt,1000,9,search,2792,5,494272
cpp,array,dataset_1000.txt,1000,9,delete,2417,5,494272
cpp,array,dataset_1000.txt,1000,9,traverse,42,5,494272
cpp,linked,dataset_5000.txt,5000,0,insert,48833,25,12368708
cpp,linked,dataset_5000.txt,5000,0,search,244000,25,12368708
cpp,linked,dataset_5000.txt,5000,0,delete,169791,25,12368708
cpp,linked,dataset_5000.txt,5000,0,traverse,6542,25,12368708
cpp,linked,dataset_5000.txt,5000,1,insert,43125,25,12368708
cpp,linked,dataset_5000.txt,5000,1,search,257833,25,12368708
cpp,linked,dataset_5000.txt,5000,1,delete,186875,25,12368708
cpp,linked,dataset_5000.txt,5000,1,traverse,7833,25,12368708
cpp,linked,dataset_5000.txt,5000,2,insert,41292,25,12368708
cpp,linked,dataset_5000.txt,5000,2,search,267791,25,12368708
cpp,linked,dataset_5000.txt,5000,2,delete,190834,25,12368708
cpp,linked,dataset_5000.txt,5000,2,traverse,8500,25,12368708
cpp,linked,dataset_5000.txt,5000,3,insert,42708,25,12368708
cpp,linked,dataset_5000.txt,5000,3,search,262792,25,12368708
cpp,linked,dataset_5000.txt,5000,3,delete,168333,25,12368708
cpp,linked,dataset_5000.txt,5000,3,traverse,6583,25,12368708
cpp,linked,dataset_5000.txt,5000,4,insert,41542,25,12368708
cpp,linked,dataset_5000.txt,5000,4,search,280541,25,12368708
cpp,linked,dataset_5000.txt,5000,4,delete,182125,25,12368708
cpp,linked,dataset_5000.txt,5000,4,traverse,7791,25,12368708
cpp,linked,dataset_5000.txt,5000,5,insert,43542,25,12368708
cpp,linked,dataset_5000.txt,5000,5,search,240375,25,12368708
cpp,linked,dataset_5000.txt,5000,5,delete,169083,25,12368708
cpp,linked,dataset_5000.txt,5000,5,traverse,6209,25,12368708
cpp,linked,dataset_5000.txt,5000,6,insert,41208,25,12368708
cpp,linked,dataset_5000.txt,5000,6,search,235958,25,12368708
cpp,linked,dataset_5000.txt,5000,6,delete,165375,25,12368708
cpp,linked,dataset_5000.txt,5000,6,traverse,6042,25,12368708
cpp,linked,dataset_5000.txt,5000,7,insert,41459,25,12368708
cpp,linked,dataset_5000.txt,5000,7,search,289459,25,12368708
cpp,linked,dataset_5000.txt,5000,7,delete,184167,25,12368708
cpp,linked,dataset_5000.txt,5000,7,traverse,7833,25,12368708
cpp,linked,dataset_5000.txt,5000,8,insert,42542,25,12368708
cpp,linked,dataset_5000.txt,5000,8,search,280208,25,12368708
cpp,linked,dataset_5000.txt,5000,8,delete,184791,25,12368708
cpp,linked,dataset_5000.txt,5000,8,traverse,7709,25,12368708
cpp,linked,dataset_5000.txt,5000,9,insert,49583,25,12368708
cpp,linked,dataset_5000.txt,5000,9,search,262459,25,12368708
cpp,linked,dataset_5000.txt,5000,9,delete,176375,25,12368708
cpp,linked,dataset_5000.txt,5000,9,traverse,7750,25,12368708
python,array,dataset_25000.txt,25000,0,insert,31167,125,309399781
python,array,dataset_25000.txt,25000,0,search,16212625,125,309399781
python,array,dataset_25000.txt,25000,0,delete,16200834,125,309399781
python,array,dataset_25000.txt,25000,0,traverse,86000,125,309399781
python,array,dataset_25000.txt,25000,1,insert,29625,125,309399781
python,array,dataset_25000.txt,25000,1,search,16424625,125,309399781
python,array,dataset_25000.txt,25000,1,delete,16223500,125,309399781
python,array,dataset_25000.txt,25000,1,traverse,89458,125,309399781
python,array,dataset_25000.txt,25000,2,insert,31250,125,309399781
python,array,dataset_25000.txt,25000,2,search,17274917,125,309399781
python,array,dataset_25000.txt,25000,2,delete,17274709,125,309399781
python,array,dataset_25000.txt,25000,2,traverse,89500,125,309399781
python,array,dataset_25000.txt,25000,3,insert,31542,125,309399781
python,array,dataset_25000.txt,25000,3,search,16858417,125,309399781
python,array,dataset_25000.txt,25000,3,delete,16836958,125,309399781
python,array,dataset_25000.txt,25000,3,traverse,87000,125,309399781
python,array,dataset_25000.txt,25000,4,insert,30250,125,309399781
python,array,dataset_25000.txt,25000,4,search,16191292,125,309399781
python,array,dataset_25000.txt,25000,4,delete,16564583,125,309399781
python,array,dataset_25000.txt,25000,4,traverse,87167,125,309399781
python,array,dataset_25000.txt,25000,5,insert,38583,125,309399781
python,array,dataset_25000.txt,25000,5,search,16575875,125,309399781
python,array,dataset_25000.txt,25000,5,delete,16319458,125,309399781
python,array,dataset_25000.txt,25000,5,traverse,88500,125,309399781
python,array,dataset_25000.txt,25000,6,insert,32958,125,309399781
python,array,dataset_25000.txt,25000,6,search,16352542,125,309399781
python,array,dataset_25000.txt,25000,6,delete,16539209,125,309399781
python,array,dataset_25000.txt,25000,6,traverse,91292,125,309399781
python,array,dataset_25000.txt,25000,7,insert,28750,125,309399781
python,array,dataset_25000.txt,25000,7,search,16212500,125,309399781
python,array,dataset_25000.txt,25000,7,delete,16333834,125,309399781
python,array,dataset_25000.txt,25000,7,traverse,85916,125,309399781
python,array,dataset_25000.txt,25000,8,insert,28583,125,309399781
python,array,dataset_25000.txt,25000,8,search,16509541,125,309399781
python,array,dataset_25000.txt,25000,8,delete,16467834,125,309399781
python,array,dataset_25000.txt,25000,8,traverse,89500,125,309399781
python,array,dataset_25000.txt,25000,9,insert,35458,125,309399781
python,array,dataset_25000.txt,25000,9,search,16211500,125,309399781
python,array,dataset_25000.txt,25000,9,delete,16312209,125,309399781
python,array,dataset_25000.txt,25000,9,traverse,86958,125,309399781
cpp,linked,dataset_25000.txt,25000,0,insert,218959,125,309399781
cpp,linked,dataset_25000.txt,25000,0,search,6103500,125,309399781
cpp,linked,dataset_25000.txt,25000,0,delete,3742584,125,309399781
cpp,linked,dataset_25000.txt,25000,0,traverse,29459,125,309399781
cpp,linked,dataset_25000.txt,25000,1,insert,207792,125,309399781
cpp,linked,dataset_25000.txt,25000,1,search,5880750,125,309399781
cpp,linked,dataset_25000.txt,25000,1,delete,3733792,125,309399781
cpp,linked,dataset_25000.txt,25000,1,traverse,29750,125,309399781
cpp,linked,dataset_25000.txt,25000,2,insert,227708,125,309399781
cpp,linked,dataset_25000.txt,25000,2,search,5736000,125,309399781
cpp,linked,dataset_25000.txt,25000,2,delete,3816500,125,309399781
cpp,linked,dataset_25000.txt,25000,2,traverse,29084,125,309399781
cpp,linked,dataset_25000.txt,25000,3,insert,257125,125,309399781
cpp,linked,dataset_25000.txt,25000,3,search,5868959,125,309399781
cpp,linked,dataset_25000.txt,25000,3,delete,3742166,125,309399781
cpp,linked,dataset_25000.txt,25000,3,traverse,29292,125,309399781
cpp,linked,dataset_25000.txt,25000,4,insert,224833,125,309399781
cpp,linked,dataset_25000.txt,25000,4,search,5666584,125,309399781
cpp,linked,dataset_25000.txt,25000,4,delete,3664459,125,309399781
cpp,linked,dataset_25000.txt,25000,4,traverse,28958,125,309399781
cpp,linked,dataset_25000.txt,25000,5,insert,207583,125,309399781
cpp,linked,dataset_25000.txt,25000,5,search,5688292,125,309399781
cpp,linked,dataset_25000.txt,25000,5,delete,3695708,125,309399781
cpp,linked,dataset_25000.txt,25000,5,traverse,29708,125,309399781
cpp,linked,dataset_25000.txt,25000,6,insert,218958,125,309399781
cpp,linked,dataset_25000.txt,25000,6,search,5681917,125,309399781
cpp,linked,dataset_25000.txt,25000,6,delete,3841416,125,309399781
cpp,linked,dataset_25000.txt,25000,6,traverse,32709,125,309399781
cpp,linked,dataset_25000.txt,25000,7,insert,208833,125,309399781
cpp,linked,dataset_25000.txt,25000,7,search,5639625,125,309399781
cpp,linked,dataset_25000.txt,25000,7,delete,3683209,125,309399781
cpp,linked,dataset_25000.txt,25000,7,traverse,29791,125,309399781
cpp,linked,dataset_25000.txt,25000,8,insert,210500,125,309399781
cpp,linked,dataset_25000.txt,25000,8,search,6887500,125,309399781
cpp,linked,dataset_25000.txt,25000,8,delete,3821875,125,309399781
cpp,linked,dataset_25000.txt,25000,8,traverse,32250,125,309399781
cpp,linked,dataset_25000.txt,25000,9,insert,211459,125,309399781
cpp,linked,dataset_25000.txt,25000,9,search,5672166,125,309399781
cpp,linked,dataset_25000.txt,25000,9,delete,3759250,125,309399781
cpp,linked,dataset_25000.txt,25000,9,traverse,30375,125,309399781
cpp,hash,dataset_5000.txt,5000,0,insert,64458,25,12368708
cpp,hash,dataset_5000.txt,5000,0,search,209,25,12368708
cpp,hash,dataset_5000.txt,5000,0,delete,1083,25,12368708
cpp,hash,dataset_5000.txt,5000,0,traverse,6708,25,12368708
cpp,hash,dataset_5000.txt,5000,1,insert,59083,25,12368708
cpp,hash,dataset_5000.txt,5000,1,search,167,25,12368708
cpp,hash,dataset_5000.txt,5000,1,delete,1000,25,12368708
cpp,hash,dataset_5000.txt,5000,1,traverse,6959,25,12368708
cpp,hash,dataset_5000.txt,5000,2,insert,60667,25,12368708
cpp,hash,dataset_5000.txt,5000,2,search,125,25,12368708
cpp,hash,dataset_5000.txt,5000,2,delete,958,25,12368708
cpp,hash,dataset_5000.txt,5000,2,traverse,7000,25,12368708
cpp,hash,dataset_5000.txt,5000,3,insert,58667,25,12368708
cpp,hash,dataset_5000.txt,5000,3,search,167,25,12368708
cpp,hash,dataset_5000.txt,5000,3,delete,1000,25,12368708
cpp,hash,dataset_5000.txt,5000,3,traverse,6833,25,12368708
cpp,hash,dataset_5000.txt,5000,4,insert,59500,25,12368708
cpp,hash,dataset_5000.txt,5000,4,search,125,25,12368708
cpp,hash,dataset_5000.txt,5000,4,delete,959,25,12368708
cpp,hash,dataset_5000.txt,5000,4,traverse,7041,25,12368708
cpp,hash,dataset_5000.txt,5000,5,insert,58292,25,12368708
cpp,hash,dataset_5000.txt,5000,5,search,166,25,12368708
cpp,hash,dataset_5000.txt,5000,5,delete,1000,25,12368708
cpp,hash,dataset_5000.txt,5000,5,traverse,7375,25,12368708
cpp,hash,dataset_5000.txt,5000,6,insert,58208,25,12368708
cpp,hash,dataset_5000.txt,5000,6,search,125,25,12368708
cpp,hash,dataset_5000.txt,5000,6,delete,959,25,12368708
cpp,hash,dataset_5000.txt,5000,6,traverse,6750,25,12368708
cpp,hash,dataset_5000.txt,5000,7,insert,65542,25,12368708
cpp,hash,dataset_5000.txt,5000,7,search,167,25,12368708
cpp,hash,dataset_5000.txt,5000,7,delete,958,25,12368708
cpp,hash,dataset_5000.txt,5000,7,traverse,7250,25,12368708
cpp,hash,dataset_5000.txt,5000,8,insert,67583,25,12368708
cpp,hash,dataset_5000.txt,5000,8,search,125,25,12368708
cpp,hash,dataset_5000.txt,5000,8,delete,959,25,12368708
cpp,hash,dataset_5000.txt,5000,8,traverse,7292,25,12368708
cpp,hash,dataset_5000.txt,5000,9,insert,65583,25,12368708
cpp,hash,dataset_5000.txt,5000,9,search,167,25,12368708
cpp,hash,dataset_5000.txt,5000,9,delete,1000,25,12368708
cpp,hash,dataset_5000.txt,5000,9,traverse,6958,25,12368708
cpp,array,dataset_5000.txt,5000,0,insert,1791,25,12368708
cpp,array,dataset_5000.txt,5000,0,search,57958,25,12368708
cpp,array,dataset_5000.txt,5000,0,delete,52583,25,12368708
cpp,array,dataset_5000.txt,5000,0,traverse,209,25,12368708
cpp,array,dataset_5000.txt,5000,1,insert,3458,25,12368708
cpp,array,dataset_5000.txt,5000,1,search,58375,25,12368708
cpp,array,dataset_5000.txt,5000,1,delete,52542,25,12368708
cpp,array,dataset_5000.txt,5000,1,traverse,208,25,12368708
cpp,array,dataset_5000.txt,5000,2,insert,3333,25,12368708
cpp,array,dataset_5000.txt,5000,2,search,58167,25,12368708
cpp,array,dataset_5000.txt,5000,2,delete,52541,25,12368708
cpp,array,dataset_5000.txt,5000,2,traverse,167,25,12368708
cpp,array,dataset_5000.txt,5000,3,insert,1958,25,12368708
cpp,array,dataset_5000.txt,5000,3,search,57750,25,12368708
cpp,array,dataset_5000.txt,5000,3,delete,52583,25,12368708
cpp,array,dataset_5000.txt,5000,3,traverse,209,25,12368708
cpp,array,dataset_5000.txt,5000,4,insert,1791,25,12368708
cpp,array,dataset_5000.txt,5000,4,search,58209,25,12368708
cpp,array,dataset_5000.txt,5000,4,delete,52833,25,12368708
cpp,array,dataset_5000.txt,5000,4,traverse,208,25,12368708
cpp,array,dataset_5000.txt,5000,5,insert,1708,25,12368708
cpp,array,dataset_5000.txt,5000,5,search,57792,25,12368708
cpp,array,dataset_5000.txt,5000,5,delete,52583,25,12368708
cpp,array,dataset_5000.txt,5000,5,traverse,208,25,12368708
cpp,array,dataset_5000.txt,5000,6,insert,1625,25,12368708
cpp,array,dataset_5000.txt,5000,6,search,57917,25,12368708
cpp,array,dataset_5000.txt,5000,6,delete,60958,25,12368708
cpp,array,dataset_5000.txt,5000,6,traverse,292,25,12368708
cpp,array,dataset_5000.txt,5000,7,insert,1667,25,12368708
cpp,array,dataset_5000.txt,5000,7,search,57833,25,12368708
cpp,array,dataset_5000.txt,5000,7,delete,52416,25,12368708
cpp,array,dataset_5000.txt,5000,7,traverse,208,25,12368708
cpp,array,dataset_5000.txt,5000,8,insert,2500,25,12368708
cpp,array,dataset_5000.txt,5000,8,search,63250,25,12368708
cpp,array,dataset_5000.txt,5000,8,delete,52458,25,12368708
cpp,array,dataset_5000.txt,5000,8,traverse,208,25,12368708
cpp,array,dataset_5000.txt,5000,9,insert,2708,25,12368708
cpp,array,dataset_5000.txt,5000,9,search,63291,25,12368708
cpp,array,dataset_5000.txt,5000,9,delete,52625,25,12368708
cpp,array,dataset_5000.txt,5000,9,traverse,250,25,12368708
python,hash,dataset_25000.txt,25000,0,insert,732708,125,309399781
python,hash,dataset_25000.txt,25000,0,search,11875,125,309399781
python,hash,dataset_25000.txt,25000,0,delete,9500,125,309399781
python,hash,dataset_25000.txt,25000,0,traverse,109125,125,309399781
python,hash,dataset_25000.txt,25000,1,insert,786917,125,309399781
python,hash,dataset_25000.txt,25000,1,search,10791,125,309399781
python,hash,dataset_25000.txt,25000,1,delete,9417,125,309399781
python,hash,dataset_25000.txt,25000,1,traverse,108542,125,309399781
python,hash,dataset_25000.txt,25000,2,insert,742500,125,309399781
python,hash,dataset_25000.txt,25000,2,search,9542,125,309399781
python,hash,dataset_25000.txt,25000,2,delete,9250,125,309399781
python,hash,dataset_25000.txt,25000,2,traverse,113375,125,309399781
python,hash,dataset_25000.txt,25000,3,insert,617584,125,309399781
python,hash,dataset_25000.txt,25000,3,search,9875,125,309399781
python,hash,dataset_25000.txt,25000,3,delete,9125,125,309399781
python,hash,dataset_25000.txt,25000,3,traverse,107958,125,309399781
python,hash,dataset_25000.txt,25000,4,insert,631958,125,309399781
python,hash,dataset_25000.txt,25000,4,search,9625,125,309399781
python,hash,dataset_25000.txt,25000,4,delete,9208,125,309399781
python,hash,dataset_25000.txt,25000,4,traverse,112458,125,309399781
python,hash,dataset_25000.txt,25000,5,insert,622375,125,309399781
python,hash,dataset_25000.txt,25000,5,search,9417,125,309399781
python,hash,dataset_25000.txt,25000,5,delete,9000,125,309399781
python,hash,dataset_25000.txt,25000,5,traverse,106583,125,309399781
python,hash,dataset_25000.txt,25000,6,insert,612625,125,309399781
python,hash,dataset_25000.txt,25000,6,search,9541,125,309399781
python,hash,dataset_25000.txt,25000,6,delete,9000,125,309399781
python,hash,dataset_25000.txt,25000,6,traverse,108792,125,309399781
python,hash,dataset_25000.txt,25000,7,insert,606375,125,309399781
python,hash,dataset_25000.txt,25000,7,search,9584,125,309399781
python,hash,dataset_25000.txt,25000,7,delete,9084,125,309399781
python,hash,dataset_25000.txt,25000,7,traverse,109875,125,309399781
python,hash,dataset_25000.txt,25000,8,insert,616250,125,309399781
python,hash,dataset_25000.txt,25000,8,search,9541,125,309399781
python,hash,dataset_25000.txt,25000,8,delete,9041,125,309399781
python,hash,dataset_25000.txt,25000,8,traverse,107041,125,309399781
python,hash,dataset_25000.txt,25000,9,insert,608083,125,309399781
python,hash,dataset_25000.txt,25000,9,search,9625,125,309399781
python,hash,dataset_25000.txt,25000,9,delete,9000,125,309399781
python,hash,dataset_25000.txt,25000,9,traverse,108000,125,309399781
python,linked,dataset_5000.txt,5000,0,insert,726542,25,12368708
python,linked,dataset_5000.txt,5000,0,search,5267666,25,12368708
python,linked,dataset_5000.txt,5000,0,delete,3982500,25,12368708
python,linked,dataset_5000.txt,5000,0,traverse,159542,25,12368708
python,linked,dataset_5000.txt,5000,1,insert,658000,25,12368708
python,linked,dataset_5000.txt,5000,1,search,4993375,25,12368708
python,linked,dataset_5000.txt,5000,1,delete,3913875,25,12368708
python,linked,dataset_5000.txt,5000,1,traverse,153709,25,12368708
python,linked,dataset_5000.txt,5000,2,insert,653709,25,12368708
python,linked,dataset_5000.txt,5000,2,search,4983916,25,12368708
python,linked,dataset_5000.txt,5000,2,delete,3943625,25,12368708
python,linked,dataset_5000.txt,5000,2,traverse,156667,25,12368708
python,linked,dataset_5000.txt,5000,3,insert,662750,25,12368708
python,linked,dataset_5000.txt,5000,3,search,4968792,25,12368708
python,linked,dataset_5000.txt,5000,3,delete,3939584,25,12368708
python,linked,dataset_5000.txt,5000,3,traverse,154625,25,12368708
python,linked,dataset_5000.txt,5000,4,insert,675292,25,12368708
python,linked,dataset_5000.txt,5000,4,search,5021875,25,12368708
python,linked,dataset_5000.txt,5000,4,delete,4060167,25,12368708
python,linked,dataset_5000.txt,5000,4,traverse,153708,25,12368708
python,linked,dataset_5000.txt,5000,5,insert,683833,25,12368708
python,linked,dataset_5000.txt,5000,5,search,5282709,25,12368708
python,linked,dataset_5000.txt,5000,5,delete,4520417,25,12368708
python,linked,dataset_5000.txt,5000,5,traverse,156417,25,12368708
python,linked,dataset_5000.txt,5000,6,insert,679500,25,12368708
python,linked,dataset_5000.txt,5000,6,search,5093375,25,12368708
python,linked,dataset_5000.txt,5000,6,delete,3957917,25,12368708
python,linked,dataset_5000.txt,5000,6,traverse,154167,25,12368708
python,linked,dataset_5000.txt,5000,7,insert,634250,25,12368708
python,linked,dataset_5000.txt,5000,7,search,4852166,25,12368708
python,linked,dataset_5000.txt,5000,7,delete,3733583,25,12368708
python,linked,dataset_5000.txt,5000,7,traverse,146000,25,12368708
python,linked,dataset_5000.txt,5000,8,insert,625958,25,12368708
python,linked,dataset_5000.txt,5000,8,search,4686792,25,12368708
python,linked,dataset_5000.txt,5000,8,delete,3686250,25,12368708
python,linked,dataset_5000.txt,5000,8,traverse,147417,25,12368708
python,linked,dataset_5000.txt,5000,9,insert,635291,25,12368708
python,linked,dataset_5000.txt,5000,9,search,4712458,25,12368708
python,linked,dataset_5000.txt,5000,9,delete,3693167,25,12368708
python,linked,dataset_5000.txt,5000,9,traverse,156250,25,12368708
python,linked,dataset_25000.txt,25000,0,insert,3456584,125,309399781
python,linked,dataset_25000.txt,25000,0,search,121925000,125,309399781
python,linked,dataset_25000.txt,25000,0,delete,76165084,125,309399781
python,linked,dataset_25000.txt,25000,0,traverse,745250,125,309399781
python,linked,dataset_25000.txt,25000,1,insert,3349584,125,309399781
python,linked,dataset_25000.txt,25000,1,search,131731917,125,309399781
python,linked,dataset_25000.txt,25000,1,delete,77127208,125,309399781
python,linked,dataset_25000.txt,25000,1,traverse,723292,125,309399781
python,linked,dataset_25000.txt,25000,2,insert,3366500,125,309399781
python,linked,dataset_25000.txt,25000,2,search,124703709,125,309399781
python,linked,dataset_25000.txt,25000,2,delete,76710583,125,309399781
python,linked,dataset_25000.txt,25000,2,traverse,740250,125,309399781
python,linked,dataset_25000.txt,25000,3,insert,3339125,125,309399781
python,linked,dataset_25000.txt,25000,3,search,122877500,125,309399781
python,linked,dataset_25000.txt,25000,3,delete,76469500,125,309399781
python,linked,dataset_25000.txt,25000,3,traverse,727917,125,309399781
python,linked,dataset_25000.txt,25000,4,insert,3353458,125,309399781
python,linked,dataset_25000.txt,25000,4,search,123405625,125,309399781
python,linked,dataset_25000.txt,25000,4,delete,76865291,125,309399781
python,linked,dataset_25000.txt,25000,4,traverse,740875,125,309399781
python,linked,dataset_25000.txt,25000,5,insert,3306333,125,309399781
python,linked,dataset_25000.txt,25000,5,search,122373542,125,309399781
python,linked,dataset_25000.txt,25000,5,delete,80354958,125,309399781
python,linked,dataset_25000.txt,25000,5,traverse,1414292,125,309399781
python,linked,dataset_25000.txt,25000,6,insert,6296125,125,309399781
python,linked,dataset_25000.txt,25000,6,search,137463500,125,309399781
python,linked,dataset_25000.txt,25000,6,delete,77081209,125,309399781
python,linked,dataset_25000.txt,25000,6,traverse,725875,125,309399781
python,linked,dataset_25000.txt,25000,7,insert,5322334,125,309399781
python,linked,dataset_25000.txt,25000,7,search,123320000,125,309399781
python,linked,dataset_25000.txt,25000,7,delete,76591916,125,309399781
python,linked,dataset_25000.txt,25000,7,traverse,718000,125,309399781
python,linked,dataset_25000.txt,25000,8,insert,3386500,125,309399781
python,linked,dataset_25000.txt,25000,8,search,123340583,125,309399781
python,linked,dataset_25000.txt,25000,8,delete,76444875,125,309399781
python,linked,dataset_25000.txt,25000,8,traverse,749083,125,309399781
python,linked,dataset_25000.txt,25000,9,insert,3385417,125,309399781
python,linked,dataset_25000.txt,25000,9,search,122928334,125,309399781
python,linked,dataset_25000.txt,25000,9,delete,77980792,125,309399781
python,linked,dataset_25000.txt,25000,9,traverse,785542,125,309399781
cpp,hash,dataset_10000.txt,10000,0,insert,127167,50,49509981
cpp,hash,dataset_10000.txt,10000,0,search,541,50,49509981
cpp,hash,dataset_10000.txt,10000,0,delete,2459,50,49509981
cpp,hash,dataset_10000.txt,10000,0,traverse,14500,50,49509981
cpp,hash,dataset_10000.txt,10000,1,insert,127542,50,49509981
cpp,hash,dataset_10000.txt,10000,1,search,458,50,49509981
cpp,hash,dataset_10000.txt,10000,1,delete,2125,50,49509981
cpp,hash,dataset_10000.txt,10000,1,traverse,14208,50,49509981
cpp,hash,dataset_10000.txt,10000,2,insert,121916,50,49509981
cpp,hash,dataset_10000.txt,10000,2,search,375,50,49509981
cpp,hash,dataset_10000.txt,10000,2,delete,2042,50,49509981
cpp,hash,dataset_10000.txt,10000,2,traverse,13708,50,49509981
cpp,hash,dataset_10000.txt,10000,3,insert,123000,50,49509981
cpp,hash,dataset_10000.txt,10000,3,search,333,50,49509981
cpp,hash,dataset_10000.txt,10000,3,delete,2042,50,49509981
cpp,hash,dataset_10000.txt,10000,3,traverse,13583,50,49509981
cpp,hash,dataset_10000.txt,10000,4,insert,130542,50,49509981
cpp,hash,dataset_10000.txt,10000,4,search,458,50,49509981
cpp,hash,dataset_10000.txt,10000,4,delete,2167,50,49509981
cpp,hash,dataset_10000.txt,10000,4,traverse,14625,50,49509981
cpp,hash,dataset_10000.txt,10000,5,insert,129708,50,49509981
cpp,hash,dataset_10000.txt,10000,5,search,333,50,49509981
cpp,hash,dataset_10000.txt,10000,5,delete,2125,50,49509981
cpp,hash,dataset_10000.txt,10000,5,traverse,13541,50,49509981
