language,structure,n,operation,count,mean_ns,median_ns,std_ns,ci95_half_width_ns
cpp,linked,5000,traverse,10,7279.2,7729.5,848.2800638154044,525.7694306924534
cpp,linked,10000,delete,10,697912.5,686125.5,64865.93982335157,40204.32603220537
cpp,linked,10000,insert,10,83654,82792.0,3816.0216339941144,2365.1947129241694
cpp,linked,10000,search,10,998066.8,956416.5,89819.72750744187,55670.84387688216
cpp,linked,10000,traverse,10,13012.3,12479.0,1361.3617406438632,843.7807486898214
cpp,linked,25000,delete,10,3750095.9,3742375.0,60677.298257896895,37608.179093022925
cpp,linked,25000,insert,10,219375,215208.5,15093.846045473118,9355.262702501612
cpp,linked,25000,search,10,5882529.3,5712146.0,381271.7499786588,236314.67893252004
cpp,linked,25000,traverse,10,30137.6,29729.0,1302.2492678268457,807.1424584534146
python,array,1000,delete,10,37691.4,37270.5,702.6665401644415,435.5172336919248
python,array,1000,insert,10,770.9,687.5,218.88680484061467,135.66744719840986
python,array,1000,search,10,28675,28458.0,490.6188835429073,304.0887344765595
python,array,1000,traverse,10,5074.8,5083.0,148.16642294693116,91.83450037733942
python,array,5000,delete,10,783441.7,781646.0,5429.669706549582,3365.3441501624893
python,array,5000,insert,10,6337.4,6104.0,665.8086478527863,412.67247535814914
python,array,5000,search,10,665133.3,657896.0,17734.671372139313,10992.063197746593
python,array,5000,traverse,10,18371,18354.5,215.60148422494683,133.63118438448413
python,array,10000,delete,10,2708054,2697416.5,35109.68297904282,21761.20696348333
python,array,10000,insert,10,11558.1,11437.0,1007.1899798724943,624.2628170876608
python,array,10000,search,10,2765645.9,2758750.0,19403.174479393256,12026.212137736764
python,array,10000,traverse,10,35329.1,35125.0,1133.2844548283347,702.4169823674697
python,array,25000,delete,10,16507312.8,16400834.0,330209.94629504695,204666.24512150852
python,array,25000,insert,10,31816.6,31208.5,3131.9629698392737,1941.2107602714798
python,array,25000,search,10,16482383.4,16388583.5,350063.87915579067,216971.84019850305
python,array,25000,traverse,10,88129.1,87833.5,1784.7834882696557,1106.2202668257348
python,hash,1000,delete,10,508.2,458.5,82.82887311935508,51.337867436122515
python,hash,1000,insert,10,24296,24083.5,1063.6557504924024,659.2606643067842
python,hash,1000,search,10,625,583.5,98.28869043113082,60.91996147952382
python,hash,1000,traverse,10,6850,6749.5,234.16565836081847,145.13737872175525
python,hash,5000,delete,10,1758.3,1750.0,75.3850117728982,46.724114373629384
python,hash,5000,insert,10,103575,101937.5,5133.746693313871,3181.9291663210292
python,hash,5000,search,10,2066.5,2020.5,128.92051814974994,79.90576499852811
python,hash,5000,traverse,10,23729.1,23791.5,181.3385109554933,112.39477353606004
python,hash,10000,delete,10,3658.3,3479.0,551.1739088325733,341.62112799871016
python,hash,10000,insert,10,206662.4,204562.5,6137.816897453578,3804.258326376202
python,hash,10000,search,10,3841.8,3834.0,125.29325600366526,77.65756462830906
python,hash,10000,traverse,10,43775,43750.0,343.77641312664576,213.07482837934867
python,hash,25000,delete,10,9162.5,9104.5,179.49079208818608,111.24954551717401
python,hash,25000,insert,10,657737.5,619979.5,68215.36090818059,42280.31872853152
python,hash,25000,search,10,9941.6,9604.5,785.1501201115052,486.64108620259793
